Feature,Importance (MDI),Std,q25,q75,Language,partID,syllable,lang_profile,pc1,pc2,Stdx2
vowel_periph,0.34232211671135193,0.1251751596764456,0.24996803012127727,0.42890779095098863,eng,eum191,pen,l3_eng,-6.704566719284252,3.579550488889268,0.2503503193528912
spec_dur,0.3298439790335959,0.12612982411971768,0.24435132477744287,0.4171943711937994,spa,eum191,pen,l3_eng,-6.704566719284252,3.579550488889268,0.25225964823943536
f0_creak,0.3746881910593446,0.1602322236635748,0.2527941401906374,0.4834506559474098,spa,eum191,pen,l3_eng,-6.704566719284252,3.579550488889268,0.3204644473271496
vowel_periph,0.2954678299070594,0.13465209934152117,0.19899335888644742,0.3913114282599145,spa,eum191,pen,l3_eng,-6.704566719284252,3.579550488889268,0.26930419868304234
spec_dur,0.35424667308333224,0.1486028197769479,0.237127032873905,0.46037330614204786,cat,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.2972056395538958
f0_creak,0.3075115853344892,0.14095490587477524,0.19760846778894903,0.4015198048364438,cat,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.2819098117495505
vowel_periph,0.3382417415821786,0.14943887123830824,0.22926840541949037,0.4435382245344027,cat,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.29887774247661647
spec_dur,0.3455984971030782,0.15180363509087372,0.23165038830583548,0.4527820750100414,eng,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.30360727018174744
f0_creak,0.33341138441643353,0.13697939545252935,0.2226152688524964,0.4314308019843126,eng,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.2739587909050587
vowel_periph,0.32099011848048825,0.1334967307499537,0.22321177372298714,0.41916981749802595,eng,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.2669934614999074
spec_dur,0.30192152316802745,0.12382339858709594,0.20734137607929348,0.38619077586235534,spa,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.24764679717419188
f0_creak,0.3962869702665829,0.14260071658228757,0.2932678388036018,0.4966682066859293,spa,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.28520143316457514
vowel_periph,0.3017915065653897,0.14037375737965346,0.20004106629156826,0.39533608768796813,spa,hya248,pen,l1_eng,3.1413770065755813,-0.1894139781397836,0.2807475147593069
spec_dur,0.4118658054241605,0.1199173881612775,0.3239359777894221,0.4978776155256543,cat,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.239834776322555
f0_creak,0.28949250714552094,0.11140385206752756,0.20255814512834924,0.3699517979754333,cat,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.22280770413505513
vowel_periph,0.29864168743031855,0.11593784315665069,0.2173655605810409,0.37665430653501286,cat,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.23187568631330138
spec_dur,0.32848676076197253,0.13073219961980004,0.23663433339804552,0.4284382744488266,eng,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.2614643992396001
f0_creak,0.35317597159305014,0.14176153020207563,0.24821045672098935,0.4481450724635258,eng,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.28352306040415126
vowel_periph,0.3183372676449773,0.12523127439104528,0.22764331751239833,0.40601949961480016,eng,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.25046254878209057
spec_dur,0.36723624811249866,0.12675785874623227,0.28658300474139725,0.4578267322733624,spa,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.25351571749246454
f0_creak,0.3098302194584267,0.128256543491392,0.21496346609777342,0.39505236990697207,spa,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.256513086982784
vowel_periph,0.32293353242907463,0.11891124435400435,0.243074739634785,0.3998365495336866,spa,irm109,pen,l3_eng,-4.139981271833763,-3.766948399288035,0.2378224887080087
spec_dur,0.32021319196845627,0.13603373473684954,0.22890055798597891,0.4078653766212752,cat,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.2720674694736991
f0_creak,0.33115458817751087,0.14103566906096382,0.21957486076915936,0.4288845433724541,cat,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.28207133812192764
vowel_periph,0.34863221985403287,0.14928862620935587,0.24215688423768705,0.45377245680771905,cat,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.29857725241871175
spec_dur,0.5110382039666862,0.20822484026220722,0.3470174723899059,0.705615374966148,eng,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.41644968052441445
f0_creak,0.26214352438370364,0.18476982048879037,0.10572644108897587,0.4243831015476567,eng,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.36953964097758074
vowel_periph,0.22681827164961027,0.12268461300640641,0.13193975489278528,0.30622665775713626,eng,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.24536922601281283
spec_dur,0.33180309246517226,0.13746900808357446,0.2318914686713354,0.42674268471177645,spa,lic063,pen,l1_eng,5.379062679645154,0.5134924576725792,0.2749380161671489
