Feature,Importance (MDI),Std,q25,q75,Language,partID,lang_profile,pc1,pc2,Stdx2
p_deltaF_dist_ratio,0.14473569759334945,0.11192860719084917,0.05413041520690376,0.2083285856532808,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22385721438169834
f0_ratio,0.09128174046503784,0.0766393763685592,0.03222678484306391,0.13418503702528503,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.1532787527371184
spectilt_ratio,0.11231689735144083,0.09297882863200393,0.03939608863521907,0.16558618603077635,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.18595765726400787
creak_ratio,0.16888984345693642,0.12110967577153953,0.0693406253884094,0.2468645962996659,cat,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24221935154307905
vdur_ratio,0.1640054933405906,0.10769908903524779,0.08394729125345639,0.23280921151490575,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.21539817807049558
syldur_ratio,0.16676135846602883,0.10712997282616338,0.08247100122100122,0.24446042675602794,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.21425994565232676
s_deltaF_dist_ratio,0.15367529406851446,0.09345130012225983,0.08134040367691835,0.21982553736761662,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.18690260024451966
p_deltaF_dist_ratio,0.08971039643646711,0.07549982980339004,0.032994929638662296,0.12688633020692142,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.15099965960678008
f0_ratio,0.17454210926346284,0.10505265288752719,0.09727794635029288,0.24342247047800802,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.21010530577505437
spectilt_ratio,0.13228073939747173,0.0949816742862618,0.06335416187780213,0.18188291797057293,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.1899633485725236
creak_ratio,0.11902460902746458,0.09175808632121364,0.04837290281988341,0.178794673725178,eng,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.18351617264242728
vdur_ratio,0.09584323058173506,0.09713296559350573,0.019633513124639693,0.13156243720264157,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.19426593118701146
syldur_ratio,0.14225853113269754,0.11514708579358916,0.045940196252164486,0.2245041093996817,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.23029417158717833
s_deltaF_dist_ratio,0.07229444189169026,0.07279688619749096,0.008862021124239184,0.11273145693149891,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.14559377239498192
p_deltaF_dist_ratio,0.13800783485051954,0.11398931380506577,0.042944402012804736,0.21223199564075793,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.22797862761013155
f0_ratio,0.3114948204671804,0.19664249889472268,0.14445351095757597,0.4588252693297348,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.39328499778944537
spectilt_ratio,0.13635262081369623,0.12406894692816044,0.03972689167494362,0.21888761733790507,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.24813789385632087
creak_ratio,0.10374852026248098,0.09754432445495673,0.02671679197994987,0.1596450670025684,spa,ala059,l3_eng,-2.5142055322180346,-3.8533627737632985,0.19508864890991345
vdur_ratio,0.13428962185850676,0.09977867349300835,0.05362282537224474,0.19326758083249035,cat,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.1995573469860167
syldur_ratio,0.2195095222280686,0.12986385028025937,0.1226656300875051,0.30988152379543804,cat,irb111,l3_eng,-4.302326744326879,-0.0775427669154291,0.25972770056051875
