dur_period,vowel_periph,Label,partID,Language,word,stress,f0,syllable,lang_profile,pc1,pc2
-0.4405367632767612,2.0354075461038432,i,afs116,cat,denominar,0,-0.9005957644944736,pen,l1_eng,6.165043938888648,2.9911835511439766
1.6883109351183496,0.016402153689093,a,afs116,cat,denominar,1,0.0063646616621294,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.4136380147554621,1.4936063120761711,i,afs116,cat,desanimar,0,-1.1553779313177388,pen,l1_eng,6.165043938888648,2.9911835511439766
1.553669022259289,-0.1729391509214273,a,afs116,cat,desanimar,1,-1.934928371889528,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.9358479235887064,1.3097026887934995,i,afs116,cat,determinar,0,-0.7032688919956316,pen,l1_eng,6.165043938888648,2.9911835511439766
1.455623210997615,-0.1792209167972807,a,afs116,cat,determinar,1,0.1582308594344941,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.0664632082714631,0.849911271527545,i,afs116,cat,encamina,1,-0.8693243629114601,pen,l1_eng,6.165043938888648,2.9911835511439766
3.2996903705723857,-0.3032226187035333,a,afs116,cat,encamina,0,3.78853230834316,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.6175997243283338,2.865575007452591,i,afs116,cat,recriminar,0,-1.342995207063786,pen,l1_eng,6.165043938888648,2.9911835511439766
2.2726424193784207,0.2955295270289472,a,afs116,cat,recriminar,1,2.1181331498307974,ult,l1_eng,6.165043938888648,2.9911835511439766
1.6467584959885868,3.3522483037653186,i,afs116,cat,incriminar,0,-0.1262162037496526,pen,l1_eng,6.165043938888648,2.9911835511439766
2.245682147766473,0.4725329233516363,a,afs116,cat,incriminar,1,-0.4200723516713468,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.0589963334665505,0.7592277862768948,i,afs116,cat,il·luminar,0,-2.259568930424584,pen,l1_eng,6.165043938888648,2.9911835511439766
1.3669332135549093,0.3604223162730164,a,afs116,cat,il·luminar,1,-2.2692906854171606,ult,l1_eng,6.165043938888648,2.9911835511439766
1.3698536573798104,-0.1698722979404742,i,afs116,cat,examinar,0,0.2637233655666721,pen,l1_eng,6.165043938888648,2.9911835511439766
-0.2793400056718832,-0.9529267523604296,a,afs116,cat,examinar,1,-0.0348145722826452,ult,l1_eng,6.165043938888648,2.9911835511439766
0.1179896221805843,2.355893708353191,i,afs116,cat,denomina,1,-1.392120196314425,pen,l1_eng,6.165043938888648,2.9911835511439766
2.567177979227341,-0.4630389082036307,a,afs116,cat,denomina,0,3.6331702124663954,ult,l1_eng,6.165043938888648,2.9911835511439766
1.2170399556838094,0.680930570292099,i,afs116,cat,encaminar,0,1.068110762502278,pen,l1_eng,6.165043938888648,2.9911835511439766
0.8209500619381094,-1.1035512100082954,a,afs116,cat,encaminar,1,0.2056683599553824,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.3936301207167006,1.501641161487716,i,afs116,cat,discriminar,0,-1.4899726237221664,pen,l1_eng,6.165043938888648,2.9911835511439766
1.2977878691305975,-0.0720327384178982,a,afs116,cat,discriminar,1,-0.8274138050934057,ult,l1_eng,6.165043938888648,2.9911835511439766
-0.5497140110853768,0.0958279515432449,i,afs116,cat,eliminar,0,-1.1147813227536965,pen,l1_eng,6.165043938888648,2.9911835511439766
0.5088257512790917,-0.6609954559309759,a,afs116,cat,eliminar,1,-0.2382862761318854,ult,l1_eng,6.165043938888648,2.9911835511439766
0.3802504422137733,2.2588488137066216,i,afs116,cat,recrimina,1,-1.526242086045424,pen,l1_eng,6.165043938888648,2.9911835511439766
2.4640271215272747,-0.7264705734175194,a,afs116,cat,recrimina,0,4.097259742490545,ult,l1_eng,6.165043938888648,2.9911835511439766
1.0540125079048972,2.2010408086590667,i,afs116,cat,descaminar,0,0.2643840812154158,pen,l1_eng,6.165043938888648,2.9911835511439766
1.8855343681473031,0.0427400409291931,a,afs116,cat,descaminar,1,-0.5190049599263036,ult,l1_eng,6.165043938888648,2.9911835511439766
