Feature,Importance (MDI),Std,q25,q75,Language,partID,lang_profile,pc1,pc2,Stdx2
vowel_periph_ratio,0.2841877541023471,0.1250520543130808,0.19852637807970216,0.36298953094526776,eng,ldm015,l3_eng,-6.873663262294687,2.552005044002522,0.2501041086261616
f0_creak_ratio,0.3482340537618912,0.12369947401197068,0.262402738736075,0.4309252102176494,spa,ldm015,l3_eng,-6.873663262294687,2.552005044002522,0.24739894802394136
spec_dur_ratio,0.31254775492137277,0.11663468973521912,0.224804651552703,0.38945331868613653,spa,ldm015,l3_eng,-6.873663262294687,2.552005044002522,0.23326937947043824
vowel_periph_ratio,0.339218191316736,0.12541556255073158,0.24956479160473088,0.43439342035638984,spa,ldm015,l3_eng,-6.873663262294687,2.552005044002522,0.25083112510146316
f0_creak_ratio,0.32402204847123395,0.11973965550331538,0.23865949820882515,0.408356979637516,eng,lld029,mono,,,0.23947931100663075
spec_dur_ratio,0.3435294161633995,0.1350245996432658,0.24709055595479665,0.43938024596585706,eng,lld029,mono,,,0.2700491992865316
vowel_periph_ratio,0.33244853536536667,0.13045925948679035,0.2372691431702931,0.4222159869604295,eng,lld029,mono,,,0.2609185189735807
f0_creak_ratio,0.36982768056697435,0.2095542179149711,0.2023673388781092,0.5133749301828893,cat,lld031,l1_eng,8.32039784632548,4.558126373270108,0.4191084358299422
spec_dur_ratio,0.37343096448670837,0.23103368297602167,0.19641894180214395,0.5169199297861851,cat,lld031,l1_eng,8.32039784632548,4.558126373270108,0.46206736595204334
vowel_periph_ratio,0.25674135494631717,0.1689965235749039,0.11633890587015595,0.39251428060581045,cat,lld031,l1_eng,8.32039784632548,4.558126373270108,0.3379930471498078
f0_creak_ratio,0.29006302075206114,0.10595577360213201,0.21266045042661505,0.36274862151579235,eng,lld031,l1_eng,8.32039784632548,4.558126373270108,0.21191154720426403
spec_dur_ratio,0.36850926257907707,0.1293131067735753,0.2688577841683367,0.4574408329927034,eng,lld031,l1_eng,8.32039784632548,4.558126373270108,0.2586262135471506
vowel_periph_ratio,0.34142771666886185,0.12875621023085004,0.24947197209998795,0.43181930266455415,eng,lld031,l1_eng,8.32039784632548,4.558126373270108,0.2575124204617001
f0_creak_ratio,0.3341932703250687,0.16871375265276642,0.20884122287968443,0.4491383543702794,spa,lld031,l1_eng,8.32039784632548,4.558126373270108,0.33742750530553284
spec_dur_ratio,0.3499375742013484,0.17551141287919503,0.22963826396627146,0.4719840919299162,spa,lld031,l1_eng,8.32039784632548,4.558126373270108,0.35102282575839006
vowel_periph_ratio,0.3158691554735831,0.17776352238302773,0.18488476485635574,0.4354543776571216,spa,lld031,l1_eng,8.32039784632548,4.558126373270108,0.35552704476605546
f0_creak_ratio,0.3727131635218428,0.1133718656486865,0.2937421185378679,0.4516622140116497,eng,lnd078,mono,,,0.226743731297373
spec_dur_ratio,0.2966385095531593,0.1013785334848944,0.22560596371120223,0.36823254978860587,eng,lnd078,mono,,,0.2027570669697888
vowel_periph_ratio,0.3306483269249979,0.11459121989018331,0.24477871506649188,0.4146020982901907,eng,lnd078,mono,,,0.22918243978036662
f0_creak_ratio,0.3287066338423107,0.20174122714225734,0.1757304710793082,0.47196866925064607,cat,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.4034824542845147
spec_dur_ratio,0.3550159519041294,0.21119636751943122,0.19777432568345404,0.501177716514255,cat,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.42239273503886243
vowel_periph_ratio,0.31627741425356004,0.20354118204576377,0.15598648522259648,0.44682188471250983,cat,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.40708236409152754
f0_creak_ratio,0.2626913972516341,0.17383081185860483,0.11512891154198543,0.40045412660334767,eng,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.34766162371720966
spec_dur_ratio,0.518379846473741,0.23030553230538212,0.326299410421653,0.7225147196071625,eng,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.46061106461076423
vowel_periph_ratio,0.21892875627462483,0.14560165625293783,0.0954056778144427,0.327322850893757,eng,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.29120331250587567
f0_creak_ratio,0.2959862124881051,0.28332684251007795,0.0,0.45081508213041305,spa,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.5666536850201559
spec_dur_ratio,0.29938517936476283,0.2928299570258588,0.0,0.4661535111230233,spa,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.5856599140517176
vowel_periph_ratio,0.40462860814713214,0.3204674814059771,0.0,0.6260193452380953,spa,lnm175,l1_eng,5.595493204618044,-0.7884938377436606,0.6409349628119542
f0_creak_ratio,0.37683919310466507,0.14026083664206176,0.2777837291224865,0.4691350124913909,cat,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.28052167328412353
spec_dur_ratio,0.3316537239784785,0.1396808923859348,0.22615740452985927,0.4242017466428477,cat,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.2793617847718696
vowel_periph_ratio,0.29150708291685645,0.13577352811015483,0.18505190485513767,0.38425483983044284,cat,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.27154705622030967
f0_creak_ratio,0.3989303350086621,0.14298756719712222,0.2926673072760333,0.5078391685245048,eng,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.28597513439424443
spec_dur_ratio,0.31419627771137226,0.14818129313598413,0.2037256927609063,0.41251479808182395,eng,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.29636258627196826
vowel_periph_ratio,0.28687338727996564,0.1321793430131123,0.19008758345315446,0.3662126764630175,eng,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.2643586860262246
f0_creak_ratio,0.34350506538939196,0.11716566215537375,0.27229031354607397,0.4265492316652915,spa,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.2343313243107475
spec_dur_ratio,0.34376974945698324,0.12318802153731437,0.25881985595011137,0.42790773152328143,spa,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.24637604307462874
vowel_periph_ratio,0.31272518515362485,0.11765106284438977,0.2243159883832776,0.3938524379830135,spa,lrv099,l3_eng,-5.560950612484583,-3.1509565735981013,0.23530212568877953
f0_creak_ratio,0.3547195439672526,0.11959805521284796,0.2807975240439842,0.4310161817953745,eng,mae116,mono,,,0.2391961104256959
spec_dur_ratio,0.3674809300241138,0.14567135399337056,0.25346637789594134,0.4611924963037225,eng,mae116,mono,,,0.2913427079867411
vowel_periph_ratio,0.2777995260086336,0.10384946331187155,0.20875293336434028,0.34653040668060453,eng,mae116,mono,,,0.2076989266237431
f0_creak_ratio,0.30919689941503486,0.1244294345653561,0.21757820983364462,0.4002076273108771,cat,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.2488588691307122
spec_dur_ratio,0.3538845219955687,0.15614568456322558,0.23212508587089428,0.45891225783548184,cat,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.31229136912645117
vowel_periph_ratio,0.33691857858939644,0.13005759853942528,0.2426340511974109,0.4341019806039062,cat,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.26011519707885056
f0_creak_ratio,0.3478533414623114,0.15334523965545185,0.23057626171640938,0.4670494006221484,eng,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.3066904793109037
spec_dur_ratio,0.39370894208576107,0.15502361686598426,0.27490254564084543,0.514570172927615,eng,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.3100472337319685
vowel_periph_ratio,0.2584377164519276,0.10115248692257257,0.18761290677833103,0.31984220983415407,eng,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.20230497384514515
f0_creak_ratio,0.3611420436142128,0.17625406482721043,0.21563085200693888,0.49898788107035563,spa,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.35250812965442085
spec_dur_ratio,0.4154218421793329,0.18923570625545919,0.27409222946116724,0.5635491633055376,spa,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.37847141251091837
vowel_periph_ratio,0.22343611420645426,0.11936582724853177,0.13605017831521038,0.2966214042372512,spa,nde013,l1_eng,2.538149818596855,-2.341167948540112,0.23873165449706354
f0_creak_ratio,0.38484845466523493,0.22572500677229204,0.19439410544493604,0.5434867228289728,cat,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.4514500135445841
spec_dur_ratio,0.2820912294333657,0.20132723376522818,0.1305127770238213,0.40532460433776235,cat,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.40265446753045636
vowel_periph_ratio,0.33306031590139945,0.2300296946018305,0.13356434355360297,0.5076019296607532,cat,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.460059389203661
f0_creak_ratio,0.3748932967426226,0.1307251379403819,0.2808323104540269,0.46589403112955924,eng,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.2614502758807638
spec_dur_ratio,0.3158186049293464,0.12320993009945483,0.22404406626646828,0.39563824340090775,eng,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.24641986019890966
vowel_periph_ratio,0.309288098328031,0.11747852272898558,0.23020395623603843,0.3805279963257294,eng,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.23495704545797116
f0_creak_ratio,0.3909073191375427,0.1380875137335608,0.2945595317020917,0.4830252082476348,spa,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.2761750274671216
spec_dur_ratio,0.35228035593876117,0.14391428115302748,0.2447110033301318,0.4507112636134744,spa,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.28782856230605497
vowel_periph_ratio,0.2568123249236961,0.1208420183716304,0.16668729152685346,0.3364427609760448,spa,nir048,l1_eng,3.892734422087786,-2.7268145203117564,0.2416840367432608
f0_creak_ratio,0.4413723552366171,0.16662478369121597,0.3158712565560651,0.574512814780668,cat,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.33324956738243194
spec_dur_ratio,0.23567381477691818,0.11485683143915072,0.15304680400588322,0.3014421098209768,cat,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.22971366287830144
vowel_periph_ratio,0.32295382998646466,0.14485169780637494,0.20742944252663148,0.43370805589080264,cat,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.2897033956127499
f0_creak_ratio,0.3003615475029544,0.12604914668208,0.19905218027885213,0.39247122658157185,eng,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.25209829336416
spec_dur_ratio,0.4236050816203503,0.1460179666205687,0.31912772058710454,0.5311539467551556,eng,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.2920359332411374
vowel_periph_ratio,0.2760333708766953,0.11891670602062639,0.18755078439771544,0.360748065551158,eng,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.23783341204125277
f0_creak_ratio,0.5221212581050485,0.18755386878027874,0.38518951750170216,0.6684295884175226,spa,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.3751077375605575
spec_dur_ratio,0.21833441703219625,0.12349812583516398,0.12476919535335447,0.2889587544115475,spa,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.24699625167032796
vowel_periph_ratio,0.2595443248627552,0.15401007211687348,0.13956337574159267,0.372317040259168,spa,nlc102,l3_eng,-7.496278821928531,2.840881906915788,0.30802014423374696
f0_creak_ratio,0.3087289697160881,0.10526206871392968,0.23335688574816302,0.37885913860902054,eng,oan043,mono,,,0.21052413742785936
spec_dur_ratio,0.3527406961657057,0.11556606261383143,0.2726944127218746,0.42690646260180837,eng,oan043,mono,,,0.23113212522766285
vowel_periph_ratio,0.33853033411820616,0.11003404977782398,0.2559293587734993,0.41384469254796474,eng,oan043,mono,,,0.22006809955564796
f0_creak_ratio,0.46168883858687787,0.20726450490204001,0.3023031279144571,0.6266290642483952,cat,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.41452900980408003
spec_dur_ratio,0.32226060345389757,0.19834914274985818,0.17081502340339913,0.42248876703666455,cat,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.39669828549971636
vowel_periph_ratio,0.2160505579592246,0.11797511049128065,0.12858206821340468,0.2913701573262959,cat,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.2359502209825613
f0_creak_ratio,0.32609674934712785,0.1321162693804258,0.22111317679039622,0.42256367658292054,eng,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.2642325387608516
spec_dur_ratio,0.343176055055261,0.13221451236571333,0.24637824438275807,0.4286156278297078,eng,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.26442902473142665
vowel_periph_ratio,0.33072719559761116,0.13766288165277393,0.23011079511401802,0.42208768873283076,eng,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.27532576330554787
f0_creak_ratio,0.32051973077587526,0.13239705394841295,0.22576434201302908,0.41398273712301786,spa,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.2647941078968259
spec_dur_ratio,0.34355064807201685,0.13590839664054066,0.24917342082520655,0.4342726033663408,spa,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.2718167932810813
vowel_periph_ratio,0.3359296211521079,0.13459263686381676,0.2372224401972397,0.4308496491438702,spa,rre101,l3_eng,-4.6982062141367,3.409552863213947,0.2691852737276335
f0_creak_ratio,0.3657110560640944,0.14036043385404406,0.2673011706191546,0.4601623215178923,cat,rrr070,l3_eng,-3.845810047538216,-0.1338343406165303,0.28072086770808813
