key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trialenglish,participant ID,date,expName,psychopyVersion,OS,frameRate,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,trials_randomizer.thisRepN,trials_randomizer.thisTrialN,trials_randomizer.thisN,trials_randomizer.thisIndex,trials_randomizer.ran,fillertarget,vowel_quality_change,stress,wordenglish,verbenglish,rand_12,block_randomizer.thisRepN,block_randomizer.thisTrialN,block_randomizer.thisN,block_randomizer.thisIndex,block_randomizer.ran,condsFile,key_resp_5.keys,key_resp_5.rt,mainTrialsReps.thisRepN,mainTrialsReps.thisTrialN,mainTrialsReps.thisN,mainTrialsReps.thisIndex,mainTrialsReps.ran,trials_randomizer2.thisRepN,trials_randomizer2.thisTrialN,trials_randomizer2.thisN,trials_randomizer2.thisIndex,trials_randomizer2.ran,block_randomizer2.thisRepN,block_randomizer2.thisTrialN,block_randomizer2.thisN,block_randomizer2.thisIndex,block_randomizer2.ran
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.6174,0,6,6,15,1,target,1,ultimate,"No, the PARENTS can’t project their voices, but their son can.",project,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.3805,0,7,7,12,1,target,1,penultimate,"No, there weren't FIVE converts that year, but there were two.",convert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.5373,0,8,8,0,1,target,0,penultimate,"No, the DRESS didn't billow in the wind, but the curtains did.",billow,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.6902,0,9,9,16,1,target,1,penultimate,"No, he didn’t LOOK at the object on the shelf, he stared at it.",object,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.7809,0,10,10,5,1,target,0,ultimate,"No, the LEADER doesn’t incite violence, but his advisors do.",insight,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.8669,0,11,11,10,1,target,1,penultimate,"No, she doesn’t OWN the compact car, she leases it.",compact,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.9473,0,12,12,13,1,target,1,ultimate,"No, the JUDGE will not convict him, but the jury will.",convict,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.5098,0,13,13,9,1,target,1,ultimate,"No, don't use a SPOON to combine the ingredients, use a beater.",combine,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.2335,0,14,14,17,1,target,1,ultimate,"No, he doesn’t HATE to record his voice, he loves it.",record,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,4.8699,0,15,15,11,1,target,1,ultimate,"No, WE won’t contract the disease, but you will.",contract,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.0538,0,16,16,18,1,target,1,penultimate,"No, SHE wasn't the subject of the painting, but I was.",subject,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.4873,0,17,17,14,1,target,1,penultimate,"No, she doesn’t LOVE the desert landscape, she hates it.",desert,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.1952,0,18,18,3,1,target,0,ultimate,"No, THEY won’t import more cars, but the government will.",import,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,,,,,,,,,,,,,,0,1,1,0,1,main_trial_block1.xlsx,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,,,,,,,,,,,,,,,,,,,,space,12.0812,0,0,0,0,1,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.1022,0,0,0,5,1,target,0,penultimate,"No, I didn't want YOUR insight on the project, but his.",insight,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.1351,0,1,1,0,1,target,0,ultimate,"No, her CALCIUM isn’t below normal, but her iron is.",billow,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.9186,0,2,2,10,1,target,1,ultimate,"No, she didn't use her FINGER to compact the soil, but she used her hand.",compact,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.8434,0,3,3,9,1,target,1,penultimate,"No, there wasn’t a SPIDER on the combine windshield, but there was a fly.",combine,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,4.765,0,4,4,6,1,target,0,ultimate,"No, her FATHER won’t permit her to go, but her mother will.",permit,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.2646,0,5,5,13,1,target,1,penultimate,"No, he didn’t CATCH the convict yesterday, but he saw him.",convict,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,6.3111,0,6,6,12,1,target,1,ultimate,"No, they don’t use MICROSOFT to convert files; they use Adobe.",convert,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.7138,0,7,7,8,1,target,0,ultimate,"No, my MOTHER wasn’t a trustee of the company, but my sister was.",trusty,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.7354,0,8,8,15,1,target,1,penultimate,"No, the SCIENCE project isn’t due tomorrow, but the math project is.",project,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.3269,0,9,9,17,1,target,1,penultimate,"No, they didn’t BUY the record in the shop, but they listened to it.",record,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.376,0,10,10,11,1,target,1,penultimate,"No, HE didn’t sign the contract today, but she did.",contract,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.9522,0,11,11,2,1,target,0,ultimate,"No, the PARENTS won’t forbear the mortgage, but the bank will.",forebear,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,4.8532,0,12,12,7,1,target,0,penultimate,"No, I didn't RUN in the relay, but I walked.",relay,2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ala059,03/01/2023_07h20.12.883,english_experiment2,2022.1.4,Win32,60.04924038,,,space,5.7522,0,13,13,18,1,target,1,ultimate,"No, THEY won't subject you to questioning, but I will.",subject,2,,,,,,,,,,,,,,,,,,,,,,,
