Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	soe_mean	
lrv099_catala_exp2_a.mat	"tímid"	12815.098	13317.800	17.062	5.715	-19.738	-26.503	-25.847	-14.410	-23.895	11.347	25.452	43.565	42.908	31.472	4.158	-4.521	20.803	0.551	22.695	29.892	35.942	38.699	0.098	17.643	8.237	-0.065	0.195	-8.843	-12.588	-10.955	-19.374	9.406	8.302	17.448	26.486	30.231	10.890	9.955	184.777	129.793	178.190	174.720	0	392.025	2164.866	3017.402	4071.206	638.204	2531.918	3865.948	5047.511	0	0	0	0	187.361	351.904	332.084	485.780	524.799	880.072	940.586	467.567	0	0	0	0	0.169	0.032	
lrv099_catala_exp2_a.mat	"escriguin"	15193.800	15753.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172.152	261.176	243.928	0	610.715	2295.428	3131.531	4382.242	676.533	2652.862	3946.337	4646.670	0	0	0	0	315.512	243.697	427.435	280.277	470.914	857.924	883.803	658.378	0	0	0	0	0.207	0.027	
lrv099_catala_exp2_a.mat	"la"	15753.800	15843.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264.207	274.932	268.238	0	756.242	2008.327	3091.439	4203.030	556.326	2324.639	3679.249	4724.776	0	0	0	0	333.158	424.491	110.341	361.520	245.558	921.399	309.348	208.466	0	0	0	0	0.264	0.030	
lrv099_catala_exp2_a.mat	"resposta"	15843.800	16513.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117.403	196.872	193.548	0	637.848	1566.531	3055.562	4142.842	683.825	2586.113	4149.269	4977.524	0	0	0	0	303.820	676.009	410.261	375.049	547.233	1182.876	739.137	799.874	0	0	0	0	0.182	0.024	
lrv099_catala_exp2_a.mat	"els"	16673.800	16853.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.155	207.132	213.107	0	602.928	1581.058	3008.579	4284.525	726.972	2528.581	4176.429	4894.646	0	0	0	0	265.733	389.241	245.554	515.227	570.078	1549.306	863.694	491.656	0	0	0	0	0.188	0.034	
lrv099_catala_exp2_a.mat	"examina"	16853.800	17353.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198.202	204.134	204.503	0	560.969	1777.861	2998.778	4132.202	775.978	2492.475	3859.658	4816.722	0	0	0	0	223.089	258.518	249.524	366.981	550.845	1054.379	896.653	534.616	0	0	0	0	0.202	0.048	
lrv099_catala_exp2_a.mat	"clarament"	17353.800	17953.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	169.225	182.413	180.292	0	607.344	1802.847	2911.011	4003.019	648.471	2223.093	3636.365	4867.541	0	0	0	0	242.423	351.673	354.467	524.782	461.835	1193.273	1118.712	415.108	0	0	0	0	0.171	0.033	
lrv099_catala_exp2_a.mat	"van"	19893.800	20073.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195.797	228.247	227.681	0	329.005	1525.110	2965.412	3885.780	781.116	2435.265	3916.828	4601.932	0	0	0	0	361.748	477.122	285.570	483.623	644.523	1055.750	566.147	483.166	0	0	0	0	0.199	0.048	
lrv099_catala_exp2_a.mat	"entrar"	20073.800	20403.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	265.365	267.179	265.175	0	446.263	1841.912	3146.481	4242.293	585.820	1896.952	3617.557	4835.918	0	0	0	0	157.398	267.731	236.631	504.565	397.698	1000.524	701.139	519.865	0	0	0	0	0.257	0.035	
lrv099_catala_exp2_a.mat	"sense"	20403.800	20703.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.652	257.290	255.214	0	436.457	1873.848	3209.187	4550.280	695.320	2836.986	4485.799	5350.782	0	0	0	0	128.898	404.793	237.334	191.777	650.813	992.740	624.642	676.294	0	0	0	0	0.236	0.028	
lrv099_catala_exp2_a.mat	"demanar"	20703.800	21013.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208.839	209.928	209.260	0	757.519	1567.762	3049.432	3941.482	725.938	1873.793	3733.770	4796.308	0	0	0	0	292.878	267.407	262.704	340.770	439.913	992.597	554.984	888.876	0	0	0	0	0.209	0.055	
lrv099_catala_exp2_a.mat	"permís"	21013.800	21573.800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128.508	195.453	181.052	0	583.627	1950.257	3070.571	4275.116	1102.977	2725.179	3925.555	5139.029	0	0	0	0	332.830	408.151	383.781	431.558	754.673	967.946	766.230	593.490	0	0	0	0	0.175	0.029	
