SubjID,partID,list,block,trial,file1,filedur,loadtime,status,response,rt
1636e84f00f216,0,1,1,19,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_s3,441,125,OK,pondis,744
1636e84f00f216,0,1,1,20,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_dur2,484,250,OK,pondís,773
1636e84f00f216,0,1,1,21,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_s6,441,80,OK,pondís,711
1636e84f00f216,0,1,1,22,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st6_dur3,448,250,OK,pondis,679
1636e84f00f216,0,1,1,23,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f3_dur5,474,85,OK,pondís,777
1636e84f00f216,0,1,1,24,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f5_dur2,476,265,OK,pondís,758
1636e84f00f216,0,1,1,25,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f5_dur1,477,85,OK,pondís,851
1636e84f00f216,0,1,1,26,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_s5,441,95,OK,pondis,851
1636e84f00f216,0,1,1,27,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f5_dur5,474,165,OK,pondís,723
1636e84f00f216,0,1,1,28,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f4_dur1,484,200,OK,pondís,544
1636e84f00f216,0,1,1,29,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_dur2,483,110,OK,pondís,666
1636e84f00f216,0,1,1,30,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st2_dur4,448,90,OK,pondis,509
1636e84f00f216,0,1,1,31,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_s6,441,185,OK,pondis,503
1636e84f00f216,0,1,1,32,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st1_dur2,448,245,OK,pondis,527
1636e84f00f216,0,1,1,33,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_dur3,483,105,OK,pondís,591
1636e84f00f216,0,1,1,34,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_s2,451,205,OK,pondís,687
1636e84f00f216,0,1,1,35,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_dur4,475,210,OK,pondis,664
1636e84f00f216,0,1,1,36,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st1_dur4,447,245,OK,pondís,615
1636e84f00f216,0,1,1,37,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f2_s2,441,280,OK,pondis,696
1636e84f00f216,0,1,1,38,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/f6_dur4,482,190,OK,pondís,540
1636e84f00f216,0,1,1,39,https://d3uxfe7dw0hhy7.cloudfront.net/annie-helms/cat_perception_stimuli/st6_dur4,448,80,OK,pondís,701
