Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
acj047_english_exp2_d.mat	"pen"	88721.418	88780.889	0	0	0	0	0	0	0	0	0	0	0	0	4.419	0	0	0	0	0.204	0	0	0	0	0	0	0	0	0	0	0	207.390	187.517	212.894	201.906	400.517	1605.546	1872.943	4277.046	483.222	1576.901	1912.312	4112.671	221.719	243.812	427.310	480.353	261.822	216.256	449.823	420.482	
acj047_english_exp2_d.mat	"ult"	88871.238	88948.600	19.368	7.411	6.241	-2.704	4.360	0.970	11.957	1.170	22.071	15.008	18.398	22.820	4.646	26.225	31.260	32.561	31.799	0.000	21.860	11.454	4.315	17.886	8.300	3.527	10.406	7.139	3.974	13.559	18.332	231.679	233.440	228.741	230.612	646.422	2414.451	3120.504	4179.464	622.942	2387.001	3120.466	4787.502	187.337	113.705	291.101	693.244	170.409	187.885	379.027	445.872	
acj047_english_exp2_d.mat	"pen"	96361.156	96384.030	0	0	0	0	0	0	0	0	0	0	0	0	4.361	0	0	0	0	0.140	0	0	0	0	0	0	0	0	0	0	0	249.516	246.841	260.395	225.581	429.851	2203.244	3015.035	4257.474	467.234	2202.287	3075.964	4649.730	138.175	426.676	303.549	844.395	107.103	568.684	363.435	544.916	
acj047_english_exp2_d.mat	"ult"	96528.131	96625.500	13.556	3.837	1.865	-5.271	3.763	-1.404	9.719	1.973	18.827	9.793	14.961	21.139	3.285	23.449	28.188	29.074	27.075	0.000	15.501	11.082	0.797	16.657	8.284	6.445	4.419	10.284	-1.156	7.217	9.056	230.787	203.012	228.213	225.019	629.037	2380.405	2875.495	4129.413	711.565	2404.972	2964.680	4316.625	109.504	170.848	325.605	544.952	123.076	261.795	446.816	616.129	
alc125_catala_exp2_d.mat	"i"	2639.719	2689.731	0	0	0	0	0	0	0	0	0	0	0	0	3.762	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	174.197	174.598	176.799	176.722	489.026	2131.044	2710.515	4120.208	499.560	2109.242	2566.382	4027.185	135.669	172.676	269.640	352.146	67.320	582.820	547.384	1156.710	
alc125_catala_exp2_d.mat	"a"	2710.000	2783.655	14.875	11.313	3.047	-4.151	-2.965	-4.610	3.562	8.266	19.026	17.841	19.485	23.811	2.563	26.379	33.817	34.695	35.963	0.110	16.054	17.671	6.067	18.817	6.085	-1.124	-1.617	11.605	-2.763	9.969	17.178	169.395	171.029	171.918	172.100	747.032	1788.004	2592.837	4382.907	667.209	1701.928	2494.474	4070.882	322.569	182.268	300.585	299.336	164.513	299.176	458.763	1198.773	
alc125_catala_exp2_d.mat	"i"	7304.500	7371.446	0	0	0	0	0	0	0	0	0	0	0	0	3.567	0	0	0	0	0.196	0	0	0	0	0	0	0	0	0	0	0	173.270	172.715	175.866	176.104	383.134	2389.982	2891.080	4159.302	451.100	2210.506	2773.121	4176.920	130.373	518.714	390.000	465.922	180.102	910.485	282.837	668.589	
alc125_catala_exp2_d.mat	"a"	7414.500	7501.964	16.135	8.505	3.335	-6.057	1.096	1.890	7.630	5.170	22.192	15.039	14.245	23.248	2.717	25.851	32.601	33.686	33.804	0.000	17.398	15.464	6.832	16.070	10.010	-2.431	1.935	8.632	1.329	7.388	19.829	165.371	165.845	168.175	168.073	536.250	1770.310	2837.140	4369.315	619.786	1748.316	2846.601	4403.807	405.226	101.274	262.491	204.570	252.136	123.413	382.681	102.452	
alc125_catala_exp2_d.mat	"i"	12029.900	12089.900	0	0	0	0	0	0	0	0	0	0	0	0	2.658	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	174.051	174.127	175.094	173.920	424.602	2309.716	2766.665	4170.534	471.687	2233.945	2815.147	4243.489	161.858	454.952	348.167	374.660	114.272	858.969	545.652	529.588	
alc125_catala_exp2_d.mat	"a"	12127.713	12222.858	13.611	4.455	-1.439	-14.562	-10.701	-8.352	9.156	5.894	28.173	24.313	21.963	21.678	0.898	22.190	29.797	31.399	32.831	0.079	14.750	10.234	2.947	9.012	1.232	-8.186	4.515	7.288	5.738	13.518	22.935	167.430	167.462	167.698	167.804	670.338	1791.532	2792.807	4328.099	594.066	1729.902	2784.228	4406.346	345.425	135.610	191.928	363.635	218.054	247.000	359.420	238.393	
