Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	
afs116_catala_exp2_c.mat	"a"	56316.509	56562.643	10.419	0.909	4.978	-15.302	-1.792	3.291	9.510	-4.069	25.721	12.211	7.128	21.178	2.546	29.845	27.379	31.148	34.089	0.000	13.182	9.190	12.096	9.062	15.170	2.131	3.992	-2.906	4.120	-1.988	11.051	282.899	264.715	275.768	274.893	783.484	1405.550	2706.143	4063.998	945.533	1573.321	3406.143	4336.066	
afs116_catala_exp2_c.mat	"i"	63019.432	63104.609	11.238	9.609	10.367	-7.168	0.887	22.681	1.629	-0.758	18.406	10.351	-11.443	23.288	1.495	27.746	35.515	42.149	41.599	0.425	15.651	16.488	6.320	9.670	9.184	-3.219	-0.837	10.168	5.981	6.467	18.870	212.003	211.549	211.696	211.451	345.030	1023.444	3076.200	4276.623	783.410	2565.544	3696.430	4284.667	
afs116_catala_exp2_c.mat	"a"	63196.214	63451.744	14.249	16.950	3.844	-10.994	7.718	7.324	-2.701	13.106	25.243	6.531	6.925	22.301	10.697	14.647	10.049	11.625	13.762	0.199	14.758	19.195	13.677	14.894	25.945	19.793	-4.437	5.518	-0.136	-11.187	-5.035	121.362	237.469	238.406	240.396	662.384	1338.364	2125.803	3565.100	1045.450	1632.828	3312.477	4502.678	
afs116_catala_exp2_c.mat	"i"	87134.606	87236.614	11.539	14.931	11.665	-7.049	4.487	24.647	-3.392	3.266	18.588	7.051	-13.108	23.366	3.244	13.827	21.226	27.698	26.376	0.850	12.576	19.881	17.355	11.993	15.236	1.161	-7.305	2.526	0.583	-2.660	11.415	109.387	202.398	101.461	203.620	340.810	1000.534	2945.902	4297.886	835.103	2949.504	4269.463	4311.869	
afs116_catala_exp2_c.mat	"a"	87310.394	87486.183	17.150	17.409	6.988	-7.650	-7.573	-3.845	-0.259	10.421	24.800	24.723	20.995	24.578	12.423	12.487	7.931	8.731	11.343	0.228	17.327	18.180	9.502	27.017	21.764	0.848	-0.853	8.678	-9.690	-4.437	16.479	116.249	212.867	170.679	214.467	1109.869	1768.540	3340.857	4425.683	1050.896	1719.437	3276.872	4397.919	
afs116_catala_exp2_c.mat	"i"	93743.600	93827.786	9.704	15.699	13.008	-8.892	7.122	21.176	-5.995	2.691	18.597	2.583	-11.471	22.558	3.135	15.769	21.465	26.648	26.422	0.000	10.845	21.313	16.730	9.444	16.855	2.165	-10.468	4.582	1.401	-6.010	8.680	110.745	209.084	110.520	209.107	336.678	1033.344	2606.855	4391.092	788.255	2118.571	3104.227	4427.432	
afs116_catala_exp2_c.mat	"a"	93905.978	94137.856	13.205	15.600	4.160	-10.277	9.761	8.790	-2.395	11.440	23.482	3.444	4.415	22.914	10.377	17.200	11.647	12.527	14.296	0.216	13.860	18.641	13.184	14.001	26.012	21.498	-4.781	5.457	-0.142	-12.153	-7.639	118.547	209.511	213.949	229.331	478.466	1206.809	1702.005	3577.194	1025.347	1629.580	3390.506	4482.523	
afs116_catala_exp2_d.mat	"i"	4183.413	4307.165	15.958	14.621	11.728	-9.834	2.079	20.219	1.337	2.893	25.792	13.879	-4.261	22.355	2.811	13.115	20.706	25.513	26.181	0.040	17.269	21.323	13.151	7.678	11.142	-5.099	-4.054	8.172	9.591	6.127	22.368	115.434	106.452	105.374	210.252	326.173	1023.358	2988.998	4371.793	876.088	3148.018	4284.579	4459.307	
afs116_catala_exp2_d.mat	"a"	4443.076	4740.000	10.168	-1.947	8.331	-10.428	0.390	6.452	12.115	-10.278	20.596	9.778	3.716	21.821	2.383	29.345	27.819	31.988	36.427	0.039	12.781	12.349	12.298	12.314	13.923	-6.404	0.432	0.050	0.466	-1.142	19.185	300.445	269.921	281.927	277.240	641.822	1582.393	3439.486	4302.995	870.071	1556.425	3451.673	4411.331	
afs116_catala_exp2_d.mat	"i"	10838.100	10945.116	12.694	10.922	9.613	-2.099	3.593	26.480	1.772	1.309	14.793	9.101	-13.786	22.257	2.053	31.117	37.229	44.522	43.163	0.348	16.938	18.572	4.898	14.506	11.745	-0.327	-1.634	13.674	2.433	5.193	17.265	204.512	203.929	102.187	204.089	341.175	1020.951	3080.107	4318.604	920.854	3037.582	4283.458	4454.109	
afs116_catala_exp2_d.mat	"a"	11089.532	11408.100	16.209	17.460	9.445	-12.279	-11.904	-1.026	-1.251	8.014	28.488	28.113	17.234	22.017	8.768	13.471	8.467	10.030	12.489	0.185	16.355	18.060	11.964	24.110	20.231	3.611	-1.706	6.096	-7.756	-3.876	12.743	118.898	193.861	217.226	218.555	1175.323	1714.684	3376.354	4386.331	1019.550	1655.436	3423.476	4493.573	
afs116_catala_exp2_d.mat	"i"	68120.300	68190.300	0	0	0	0	0	0	0	0	0	0	0	0	1.396	0	0	0	0	0.829	0	0	0	0	0	0	0	0	0	0	0	200.754	193.793	100.431	201.754	343.889	1019.750	2846.751	4266.893	784.340	2256.409	3718.807	4339.010	
afs116_catala_exp2_d.mat	"a"	68290.300	68480.300	15.345	18.143	10.826	-8.844	-12.675	-7.985	-2.799	7.317	24.188	28.019	23.330	22.771	16.294	16.173	10.580	12.679	15.377	0.289	15.491	18.754	13.201	29.299	22.035	-2.012	-3.263	5.552	-13.808	-6.544	17.503	117.177	227.413	223.250	224.206	1189.751	1606.494	3241.480	4157.268	1066.180	1479.438	3292.955	4299.069	
afs116_catala_exp2_d.mat	"i"	74177.422	74275.600	11.411	12.808	9.475	-6.167	3.318	22.095	-1.397	3.333	17.578	8.094	-10.684	20.987	1.426	25.415	33.546	41.939	42.722	0.000	16.994	15.256	2.516	8.162	9.249	-8.342	1.737	12.740	8.832	7.745	25.335	207.112	146.358	102.781	204.971	305.402	1024.356	3222.332	4289.765	967.491	3256.901	4316.938	0	
afs116_catala_exp2_d.mat	"a"	74355.600	74595.600	13.033	18.160	8.687	-13.436	-13.924	-8.810	-5.128	9.474	26.468	26.957	21.843	21.740	6.143	15.358	11.281	13.810	16.965	0.283	13.170	18.728	10.935	23.419	18.828	-2.468	-5.558	7.793	-10.249	-5.658	15.638	116.187	180.289	193.037	215.093	1191.048	1717.285	3276.537	4279.550	1014.951	1599.348	3292.915	4297.649	
