Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
ael236_english_exp2_a.mat	"ult"	89144.189	89257.500	7.385	13.223	1.107	-8.123	-10.967	-1.318	-5.838	12.116	15.508	18.352	8.703	22.081	1.222	21.019	23.247	29.329	31.736	0.426	7.690	14.489	7.271	18.404	8.679	-6.181	-6.799	7.217	-10.714	-0.989	13.870	89.401	89.590	89.962	117.483	532.619	1098.943	2400.255	3912.423	539.187	1087.724	2423.745	3438.251	155.717	152.795	189.881	194.994	113.029	143.090	213.776	798.521	
ael236_english_exp2_a.mat	"pen"	95615.361	95677.500	0	0	0	0	0	0	0	0	0	0	0	0	0.490	0	0	0	0	0.358	0	0	0	0	0	0	0	0	0	0	0	79.972	52.850	58.902	140.620	354.804	1700.112	2846.345	4074.316	408.368	1545.889	2439.562	3626.835	195.379	390.899	197.208	301.984	226.249	445.976	360.544	307.363	
ael236_english_exp2_a.mat	"ult"	95843.729	95931.406	5.782	4.327	4.181	-8.580	-13.878	-12.757	1.455	0.146	14.362	19.660	18.539	15.459	2.558	6.105	5.376	11.920	18.320	0.229	7.344	8.295	8.987	17.542	5.325	-4.911	-0.951	-0.692	-10.198	2.019	12.255	141.185	0.000	74.154	172.960	617.903	1279.522	2105.191	3685.562	637.422	1301.475	2092.294	3683.646	137.584	348.817	320.210	378.688	109.236	301.927	366.570	212.610	
ael236_english_exp2_a.mat	"pen"	102242.324	102291.260	0	0	0	0	0	0	0	0	0	0	0	0	1.617	0	0	0	0	0.155	0	0	0	0	0	0	0	0	0	0	0	84.238	66.255	84.364	153.995	748.606	1413.950	2080.394	3538.920	755.781	1375.832	2082.091	3458.895	158.596	571.163	390.115	379.963	125.601	457.686	350.717	516.430	
ael236_english_exp2_a.mat	"ult"	102487.004	102565.505	0	0	0	0	0	0	0	0	0	0	0	14.920	1.337	5.573	9.894	11.781	16.437	0.230	0	0	0	0	0	0	0	0	0	0	0	82.744	0.000	45.348	147.972	534.646	1570.433	2035.492	3253.467	554.771	1575.402	2059.538	3347.096	120.860	129.901	282.633	392.383	122.421	154.779	383.851	426.511	
ael236_english_exp2_b.mat	"pen"	2402.678	2463.798	0	0	0	0	0	0	0	0	0	0	0	0	1.392	0	0	0	0	0.379	0	0	0	0	0	0	0	0	0	0	0	93.378	84.604	92.512	94.968	348.688	1760.886	2655.263	3671.532	381.583	1746.568	2642.183	3615.079	104.756	66.624	67.870	104.064	85.166	68.855	100.519	157.344	
ael236_english_exp2_b.mat	"ult"	2652.844	2762.291	7.888	13.265	1.598	-9.289	-9.819	-11.979	-5.377	11.667	17.178	17.708	19.867	19.132	2.560	14.175	10.890	13.157	15.847	0.607	8.046	13.908	4.392	20.083	12.739	0.629	-5.862	9.516	-12.037	-4.693	7.417	89.999	76.286	88.292	95.039	763.519	1483.119	2245.406	3439.493	763.282	1482.202	2258.495	3445.550	116.321	195.272	437.832	227.496	86.268	174.174	448.537	205.270	
ael236_english_exp2_b.mat	"pen"	8290.310	8339.665	0	0	0	0	0	0	0	0	0	0	0	0	1.057	0	0	0	0	0.297	0	0	0	0	0	0	0	0	0	0	0	91.659	0.000	90.269	159.151	442.167	1396.010	2478.552	3487.312	513.474	1390.736	2503.305	3477.863	191.487	115.984	285.882	197.312	216.013	108.437	284.365	147.603	
ael236_english_exp2_b.mat	"ult"	8497.385	8588.700	6.010	10.996	2.411	-7.213	-4.915	-3.209	-4.986	8.585	13.223	10.926	9.219	14.976	2.045	6.399	9.743	10.531	12.254	0.102	6.218	11.853	6.384	18.350	9.695	2.681	-5.635	5.469	-12.132	-3.477	3.537	77.934	35.568	79.118	158.628	542.832	1573.810	2340.446	3633.642	582.195	1601.674	2410.762	3370.617	158.451	198.239	304.022	362.252	189.556	208.587	318.190	477.574	
ael236_english_exp2_b.mat	"pen"	14873.017	14909.497	0	0	0	0	0	0	0	0	0	0	0	0	0.997	0	0	0	0	0.104	0	0	0	0	0	0	0	0	0	0	0	102.986	61.132	103.050	112.862	427.471	1694.781	2342.974	3364.389	468.452	1707.537	2327.172	3436.186	267.141	132.232	195.398	372.850	246.726	219.919	280.087	346.777	
