Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H2Kc_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	H42Kc_mean	H2KH5Kc_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H2Ku_mean	H5Ku_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	H42Ku_mean	H2KH5Ku_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	oF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	oF1_mean	oF2_mean	oF3_mean	oF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	oB1_mean	oB2_mean	oB3_mean	oB4_mean	epoch_mean	
lrv099_catala_exp2_a.mat	"i"	57729.526	57786.918	20.235	7.236	-13.515	-22.554	-17.671	-13.067	-15.677	12.999	20.751	42.789	37.906	33.302	2.161	8.460	26.733	1.865	29.978	40.542	45.886	47.273	0.000	21.033	10.867	-0.797	1.950	-7.157	-6.752	-13.593	-24.137	10.166	11.664	19.083	28.190	27.785	12.797	11.749	196.711	196.693	197.702	197.366	0	698.552	2320.682	3014.552	3903.741	392.954	2605.406	3571.221	4791.712	0	0	0	0	317.006	188.729	159.140	276.546	286.157	479.366	877.988	2123.029	0	0	0	0	0.190	
lrv099_catala_exp2_a.mat	"a"	57833.800	57913.800	13.756	5.625	-10.183	-15.324	-17.485	-12.684	-17.218	8.131	15.808	29.079	31.240	26.439	7.035	0.884	25.951	0.700	27.925	37.187	41.336	43.151	0.000	14.456	8.754	9.255	10.098	-2.797	-8.756	-9.751	-18.102	5.703	-0.501	4.358	17.253	23.212	19.005	8.995	186.054	185.744	186.621	186.942	0	729.381	1837.429	2827.312	3979.884	697.010	2087.235	3787.910	4745.392	0	0	0	0	258.740	208.692	362.129	455.592	319.386	634.063	903.841	950.766	0	0	0	0	0.185	
lrv099_catala_exp2_a.mat	"i"	62367.734	62401.800	22.145	2.583	-12.684	-19.660	-21.104	-12.394	-17.698	19.562	15.267	41.805	43.248	34.538	5.014	4.658	23.434	2.739	28.278	36.634	41.065	42.936	0.000	22.961	6.295	0.578	5.170	-8.432	-8.664	-10.828	-22.356	16.666	5.717	17.791	31.393	31.624	11.406	11.961	201.883	201.861	203.077	203.475	0	704.267	2107.676	3022.561	3737.390	386.628	2461.831	3443.962	4582.226	0	0	0	0	252.782	182.362	178.360	308.015	400.513	1116.023	640.784	1988.189	0	0	0	0	0.200	
lrv099_catala_exp2_a.mat	"a"	62446.635	62531.800	14.402	4.998	-10.327	-14.918	-15.543	-8.141	-13.851	9.404	15.325	29.320	29.945	22.543	3.524	-1.830	26.126	0.960	32.899	37.254	41.916	44.025	0.211	15.088	8.024	11.051	11.140	1.229	-8.205	-10.338	-12.021	7.064	-3.027	3.948	13.859	23.293	21.389	0.500	191.678	191.935	192.487	192.204	0	761.789	1730.994	3023.773	4164.606	777.492	1930.030	3763.904	4839.799	0	0	0	0	294.290	328.030	590.077	389.415	377.612	785.287	695.445	641.520	0	0	0	0	0.186	
lrv099_catala_exp2_a.mat	"i"	76493.448	76555.800	19.239	5.311	-12.137	-20.052	-14.316	-14.079	-14.501	13.928	17.448	39.291	33.555	33.318	2.364	11.576	24.209	1.551	30.544	40.389	45.415	45.184	0.000	20.032	8.955	-0.379	4.064	-7.635	-6.849	-17.315	-26.078	11.077	9.334	15.969	27.667	26.881	16.937	8.124	198.363	198.092	197.992	199.507	0	682.900	2657.485	3322.350	4261.281	415.744	2795.457	3669.079	4528.483	0	0	0	0	208.951	189.750	206.056	617.290	287.744	518.084	1136.213	1741.257	0	0	0	0	0.203	
lrv099_catala_exp2_a.mat	"a"	76608.052	76665.800	17.122	6.705	-12.954	-18.599	-23.298	-12.124	-11.754	10.417	19.659	35.721	40.420	29.246	-1.201	11.517	25.234	1.289	32.811	36.053	42.981	44.436	0.000	17.796	9.661	8.504	8.250	-5.399	-12.190	-15.118	-23.270	8.135	1.157	9.546	23.195	29.986	23.622	8.640	197.260	196.399	196.618	196.458	0	772.645	1649.323	3037.364	3916.831	799.579	2606.678	3665.603	0	0	0	0	0	336.324	398.020	227.379	388.549	475.972	2072.644	1178.540	0	0	0	0	0	0.186	
lrv099_catala_exp2_a.mat	"i"	81255.849	81304.617	22.406	6.490	-14.971	-22.351	-17.900	-13.244	-16.046	15.916	21.461	44.757	40.306	35.649	1.075	2.817	25.544	3.046	35.512	45.631	48.828	49.323	0.000	23.156	9.879	1.647	2.670	-7.163	-9.232	-13.234	-18.863	13.277	8.232	20.486	30.319	32.389	14.881	5.246	210.816	210.319	210.022	211.558	0	757.170	2267.032	3228.320	4489.485	350.869	2358.537	3383.241	4689.898	0	0	0	0	239.678	199.198	210.789	794.250	242.435	712.523	544.045	856.200	0	0	0	0	0.220	
lrv099_catala_exp2_a.mat	"a"	81341.800	81421.800	18.615	5.866	-2.161	-10.890	-15.990	-5.634	-9.704	12.749	8.027	29.505	34.605	24.249	7.543	4.323	26.972	2.301	37.601	41.390	44.949	45.661	0.000	19.460	9.711	12.161	14.295	-0.781	-5.412	-8.314	-14.027	9.749	-2.450	5.165	20.241	24.872	20.475	5.989	202.612	203.460	204.426	204.198	0	725.801	1734.478	2965.098	4083.596	695.270	2073.791	3445.774	4788.859	0	0	0	0	201.786	275.698	256.790	505.412	338.763	1555.133	961.036	396.157	0	0	0	0	0.210	
lrv099_catala_exp2_a.mat	"i"	86135.800	86185.800	22.522	6.923	-9.455	-16.453	-14.927	-11.366	-15.037	15.600	16.378	38.976	37.449	33.888	5.582	3.310	25.584	3.297	27.968	39.244	44.361	45.136	0.000	23.346	10.710	2.218	7.938	-5.977	-4.625	-13.228	-18.347	12.636	8.492	15.408	29.323	27.971	15.446	5.493	206.956	206.985	206.907	206.147	0	702.936	2352.162	3082.866	3869.960	414.939	2783.936	3564.906	4737.610	0	0	0	0	197.675	186.918	181.519	377.649	304.662	713.106	768.476	1458.899	0	0	0	0	0.216	
lrv099_catala_exp2_a.mat	"a"	86225.800	86295.800	19.889	6.524	-10.243	-14.858	-17.777	-4.305	-14.503	13.365	16.767	34.746	37.666	24.194	4.260	-0.442	25.653	2.159	35.021	40.906	44.434	44.913	0.000	20.621	9.778	10.632	11.105	-1.589	-3.444	-8.457	-14.061	10.843	-0.854	9.516	22.210	24.065	19.090	4.399	203.896	205.441	205.872	205.700	0	795.683	1800.647	3085.733	4048.878	692.576	2207.505	3616.405	4651.411	0	0	0	0	273.722	233.623	230.579	395.413	567.507	1839.214	772.238	932.868	0	0	0	0	0.211	
