Filename	Label	seg_Start	seg_End	H1c_mean	H2c_mean	H4c_mean	A1c_mean	A2c_mean	A3c_mean	H1H2c_mean	H2H4c_mean	H1A1c_mean	H1A2c_mean	H1A3c_mean	CPP_mean	Energy_mean	HNR05_mean	HNR15_mean	HNR25_mean	HNR35_mean	SHR_mean	H1u_mean	H2u_mean	H4u_mean	A1u_mean	A2u_mean	A3u_mean	H1H2u_mean	H2H4u_mean	H1A1u_mean	H1A2u_mean	H1A3u_mean	strF0_mean	sF0_mean	pF0_mean	shrF0_mean	sF1_mean	sF2_mean	sF3_mean	sF4_mean	pF1_mean	pF2_mean	pF3_mean	pF4_mean	sB1_mean	sB2_mean	sB3_mean	sB4_mean	pB1_mean	pB2_mean	pB3_mean	pB4_mean	
lrv099_catala_exp2_a.mat	"a"	62446.635	62531.800	14.474	4.982	-11.440	-15.574	-16.239	-10.395	9.492	16.423	30.047	30.712	24.869	23.570	0.956	29.472	36.076	40.182	41.351	0.269	15.178	8.108	8.745	10.238	-0.404	-9.532	7.071	-0.638	4.940	15.582	24.710	192.641	192.084	192.817	193.103	762.897	1748.693	3028.948	4175.217	688.908	1685.895	2918.592	4136.380	290.895	318.013	552.674	379.062	202.134	415.487	1018.171	432.878	
lrv099_catala_exp2_a.mat	"i"	76493.448	76555.800	0	0	0	0	0	0	0	0	0	0	0	0	1.552	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	198.516	198.108	197.863	198.956	220.446	684.478	2361.628	3083.046	442.190	2605.417	3291.302	4252.774	96.619	206.446	158.318	162.289	289.170	524.652	578.143	485.171	
lrv099_catala_exp2_a.mat	"a"	76608.052	76665.800	0	0	0	0	0	0	0	0	0	0	0	0	1.285	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	197.571	196.446	196.587	196.493	724.462	1487.445	2952.184	3825.393	624.265	1356.933	3036.790	3943.642	330.618	424.693	251.785	320.833	353.133	558.863	840.762	651.400	
lrv099_catala_exp2_a.mat	"i"	81255.849	81304.617	0	0	0	0	0	0	0	0	0	0	0	0	3.054	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	210.698	210.234	209.564	210.496	763.950	2313.959	3116.432	3876.205	339.395	1600.325	2912.384	4074.467	266.455	207.493	263.935	381.261	347.116	2787.663	528.601	529.931	
lrv099_catala_exp2_a.mat	"a"	81341.800	81421.800	20.062	5.736	-6.400	-14.961	-16.463	-10.837	14.325	12.136	35.023	36.524	30.899	25.511	2.321	36.438	44.001	47.594	47.901	0.000	20.895	9.543	6.544	9.853	-4.066	-6.662	11.352	2.998	11.041	24.961	27.556	203.762	203.718	204.693	204.686	722.808	1755.734	2968.570	4095.501	614.942	1703.869	2989.004	4203.628	208.074	278.557	250.063	482.709	160.368	500.913	575.598	501.960	
lrv099_catala_exp2_a.mat	"i"	86135.800	86185.800	0	0	0	0	0	0	0	0	0	0	0	0	3.322	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	207.388	206.985	206.654	205.964	710.589	2406.058	3129.536	3938.093	393.361	2136.926	3193.612	4136.527	214.193	211.429	188.048	416.483	309.997	972.297	692.011	816.454	
lrv099_catala_exp2_a.mat	"a"	86225.800	86295.800	0	0	0	0	0	0	0	0	0	0	0	25.410	2.141	30.894	39.679	44.034	44.480	0.000	0	0	0	0	0	0	0	0	0	0	0	205.187	205.492	205.984	206.039	792.645	1817.046	3086.189	4082.532	575.822	1640.240	3215.081	4180.652	279.740	231.160	222.344	380.857	252.010	625.101	653.799	437.131	
lrv099_catala_exp2_a.mat	"i"	90967.800	91027.800	0	0	0	0	0	0	0	0	0	0	0	0	1.650	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	201.631	201.202	202.510	203.229	218.759	2286.303	3088.064	3874.375	406.902	2338.079	3115.465	3969.555	99.392	178.157	142.799	274.462	385.950	850.285	598.874	443.249	
lrv099_catala_exp2_a.mat	"a"	91051.339	91127.800	13.645	9.436	6.725	-1.425	-5.172	6.088	4.209	2.711	15.070	18.817	7.557	26.492	0.993	34.384	41.742	45.269	45.831	0.000	18.379	6.846	6.207	15.012	-3.772	-2.669	11.533	0.640	3.367	22.151	21.047	196.740	195.740	196.312	196.956	780.719	1846.561	3235.336	4255.440	631.523	1703.087	2984.126	4176.830	438.686	360.733	499.087	428.035	242.570	463.963	724.022	493.877	
lrv099_catala_exp2_a.mat	"i"	96025.137	96065.747	0	0	0	0	0	0	0	0	0	0	0	0	2.606	0	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	203.690	203.468	204.110	203.620	780.235	2460.761	3044.474	4023.633	304.229	2168.491	2885.188	3962.252	303.653	236.304	238.545	351.530	271.112	2131.491	524.446	551.444	
